test_image,response,resptime,r/g/b, q, expected, category, size (in Bytes)
sunflower,4,6.591253,n,0,False,dominant,3615358
landscape-mountains-1,5,2.954028,n,0,False,bunt,3612553
protrait-man,3,2.712603,n,0,False,ausgeglichen,3611150
boy,4,1.926509,n,0,False,ausgeglichen,3613333
parrot-1,4,2.169328,n,0,False,dominant,3613869
colorful-flowers,5,1.957517,n,0,False,bunt,3615135
chameleon,5,1.181499,n,0,False,dominant,3612735
women-portrait-blue,5,1.67857,n,0,False,dominant,3611479
women-portrait,5,1.098211,n,0,False,dominant,3612827
buildings-1,4,2.823907,n,0,False,bunt,3614372
chameleon,4,31.627463,b,8,False,dominant,1636571
women-portrait-blue,2,7.048044,r,64,False,dominant,1334286
colorful-flowers,3,2.092094,g,16,True,bunt,1806067
boy,4,6.816621,r,8,True,ausgeglichen,1854167
parrot-1,1,3.190973,g,32,False,dominant,1316312
women-portrait,5,5.628763,r,8,True,dominant,1548721
boy,5,5.088402,r,2,True,ausgeglichen,1970444
chameleon,3,7.062138,g,32,True,dominant,1563034
women-portrait-blue,3,4.924707,b,64,True,dominant,1379057
women-portrait-blue,5,9.780271,b,8,True,dominant,1517539
boy,4,5.566982,b,32,True,ausgeglichen,1724880
women-portrait,3,9.685023,r,32,True,dominant,1432515
boy,2,9.558028,r,64,True,ausgeglichen,1665296
buildings-1,2,3.483623,r,32,True,bunt,1501470
sunflower,4,2.475601,b,32,False,dominant,1519261
buildings-1,2,7.093307,b,8,True,bunt,1620062
buildings-1,2,5.707283,r,2,True,bunt,1730820
women-portrait,1,3.478472,r,64,True,dominant,1388210
protrait-man,3,8.585608,b,16,False,ausgeglichen,983930
parrot-1,3,9.036289,r,32,True,dominant,1283118
sunflower,1,5.907381,g,64,True,dominant,1524907
buildings-1,3,3.074916,g,2,False,bunt,1742597
chameleon,3,8.252663,g,2,True,dominant,1780385
buildings-1,4,4.615011,b,2,True,bunt,1732860
boy,5,3.422928,b,8,True,ausgeglichen,1846232
chameleon,5,11.050494,b,32,False,dominant,1526202
buildings-1,4,2.480529,b,64,True,bunt,1464487
women-portrait,5,3.826166,b,8,False,dominant,1566554
women-portrait,1,2.478423,g,64,False,dominant,1434450
boy,2,1.959819,r,32,True,ausgeglichen,1724988
boy,5,9.623993,g,8,False,ausgeglichen,1885348
landscape-mountains-1,2,4.672333,b,64,True,bunt,1666004
protrait-man,1,4.715959,r,64,False,ausgeglichen,929575
buildings-1,2,2.120803,g,16,False,bunt,1586216
chameleon,3,5.078751,b,2,False,dominant,1770933
protrait-man,4,2.095792,g,8,False,ausgeglichen,1057146
colorful-flowers,3,2.655738,r,32,True,bunt,1737132
colorful-flowers,2,4.602501,g,32,True,bunt,1745745
protrait-man,2,3.967089,g,16,False,ausgeglichen,1021255
landscape-mountains-1,5,6.737087,b,16,True,bunt,1782109
sunflower,5,3.338759,g,2,True,dominant,1799423
sunflower,5,1.818281,r,8,True,dominant,1677477
colorful-flowers,5,5.408249,b,32,True,bunt,1650075
landscape-mountains-1,5,4.358771,r,2,False,bunt,1959463
protrait-man,5,1.062181,b,2,False,ausgeglichen,1098420
buildings-1,1,2.524436,r,64,True,bunt,1462046
landscape-mountains-1,1,1.351895,g,64,True,bunt,1693941
colorful-flowers,5,4.711829,g,2,True,bunt,1979529
landscape-mountains-1,4,6.982893,g,8,True,bunt,1867469
parrot-1,1,1.299066,g,64,False,dominant,1286005
buildings-1,2,1.806554,r,16,True,bunt,1554914
boy,4,6.108196,g,16,False,ausgeglichen,1826677
sunflower,5,1.650967,r,16,True,dominant,1620613
chameleon,5,2.617567,g,8,True,dominant,1674493
protrait-man,4,6.725107,r,16,False,ausgeglichen,995100
sunflower,2,1.819488,g,32,True,dominant,1575103
women-portrait-blue,2,3.37428,g,32,False,dominant,1430156
landscape-mountains-1,2,2.016657,g,16,True,bunt,1802081
landscape-mountains-1,4,4.439476,b,8,True,bunt,1848711
protrait-man,1,1.206024,g,64,False,ausgeglichen,954435
women-portrait-blue,5,2.480275,g,8,False,dominant,1533223
landscape-mountains-1,1,1.450952,g,32,True,bunt,1743767
sunflower,5,2.871357,b,16,False,dominant,1577758
boy,1,2.715248,g,32,False,ausgeglichen,1755699
colorful-flowers,1,0.192452,b,2,True,bunt,1948480
protrait-man,2,5.009186,b,64,False,ausgeglichen,917447
parrot-1,3,6.285693,g,8,False,dominant,1409332
women-portrait-blue,5,1.443061,b,16,True,dominant,1470592
women-portrait,5,1.167202,r,2,True,dominant,1668639
women-portrait,5,1.485159,g,2,False,dominant,1686824
women-portrait-blue,5,1.34284,r,8,False,dominant,1481163
colorful-flowers,5,5.135934,g,8,True,bunt,1865947
sunflower,4,17.815102,r,64,True,dominant,1521414
colorful-flowers,4,4.803504,r,8,True,bunt,1858237
boy,1,1.179886,g,64,False,ausgeglichen,1697505
women-portrait-blue,4,2.96438,b,32,True,dominant,1411735
women-portrait-blue,5,1.139748,r,2,False,dominant,1596626
colorful-flowers,4,2.387364,b,8,True,bunt,1773313
women-portrait-blue,4,2.609861,r,32,False,dominant,1376305
women-portrait,3,4.494069,b,32,False,dominant,1451947
chameleon,3,1.455423,b,16,False,dominant,1577943
colorful-flowers,2,1.447315,r,64,True,bunt,1687900
women-portrait-blue,4,2.872243,r,16,False,dominant,1430798
parrot-1,3,2.823805,b,64,False,dominant,1245966
landscape-mountains-1,3,16.259988,b,2,True,bunt,1966749
parrot-1,3,2.968816,r,8,True,dominant,1378776
chameleon,4,4.370825,r,8,False,dominant,1656610
boy,5,1.22766,g,2,False,ausgeglichen,1986269
sunflower,5,0.960071,r,32,True,dominant,1563355
women-portrait,5,1.867662,b,16,False,dominant,1512537
protrait-man,5,1.569792,b,8,False,ausgeglichen,1019660
landscape-mountains-1,3,2.295698,r,32,False,bunt,1697798
chameleon,1,2.29662,g,64,True,dominant,1517897
women-portrait-blue,5,2.164083,g,2,False,dominant,1623040
chameleon,4,1.304362,b,64,False,dominant,1484135
chameleon,5,2.051199,r,2,False,dominant,1774469
buildings-1,1,1.520714,g,8,False,bunt,1639884
parrot-1,2,1.218152,r,16,True,dominant,1328697
landscape-mountains-1,2,1.911146,r,64,False,bunt,1645847
sunflower,4,2.712726,b,64,False,dominant,1481298
parrot-1,3,1.764807,g,2,False,dominant,1487599
landscape-mountains-1,4,7.191993,r,16,False,bunt,1760551
protrait-man,1,0.990191,g,32,False,ausgeglichen,988913
boy,2,1.227879,b,64,True,ausgeglichen,1667838
sunflower,4,2.57523,b,2,False,dominant,1782336
protrait-man,4,2.431142,r,8,False,ausgeglichen,1027811
chameleon,3,2.254793,r,32,False,dominant,1549741
colorful-flowers,3,1.803792,b,16,True,bunt,1701535
parrot-1,2,1.257876,b,16,False,dominant,1326265
women-portrait,5,1.873169,g,8,False,dominant,1593928
colorful-flowers,3,2.426857,b,64,True,bunt,1607054
buildings-1,2,0.996814,b,32,True,bunt,1512992
sunflower,3,0.939428,r,2,True,dominant,1794731
parrot-1,4,1453.02927,b,32,False,dominant,1279196
women-portrait-blue,4,5.296779,b,2,True,dominant,1622899
landscape-mountains-1,3,6.418622,g,2,True,bunt,1974709
landscape-mountains-1,3,1.248494,b,32,True,bunt,1719559
parrot-1,3,3.183568,b,8,False,dominant,1376723
parrot-1,3,0.499928,b,2,False,dominant,1474967
buildings-1,5,3.694628,b,16,True,bunt,1568876
landscape-mountains-1,4,3.916868,r,8,False,bunt,1825728
protrait-man,2,1.508281,r,32,False,ausgeglichen,955805
buildings-1,3,3.601777,r,8,True,bunt,1613539
buildings-1,1,1.662388,g,64,False,bunt,1504452
parrot-1,2,6.268227,r,2,True,dominant,1476590
women-portrait,5,4.714141,r,16,True,dominant,1489510
sunflower,5,1.163663,b,8,False,dominant,1642842
protrait-man,5,2.874782,r,2,False,ausgeglichen,1102650
boy,5,1.036318,b,16,True,ausgeglichen,1788808
sunflower,5,4.864764,g,8,True,dominant,1692156
protrait-man,5,2.316326,g,2,False,ausgeglichen,1120786
women-portrait-blue,1,1.927445,g,64,False,dominant,1395146
colorful-flowers,4,3.099239,r,2,True,bunt,1976069
sunflower,4,5.454533,g,16,True,dominant,1630932
women-portrait,2,2.975063,b,64,False,dominant,1405429
chameleon,3,3.145099,g,16,True,dominant,1620124
boy,5,4.379252,r,16,True,ausgeglichen,1792184
boy,5,1.092984,b,2,True,ausgeglichen,1967649
colorful-flowers,4,5.167043,r,16,True,bunt,1798205
chameleon,4,1.899284,r,64,False,dominant,1501954
women-portrait,4,1.742773,g,16,False,dominant,1536851
women-portrait,1,2.327548,g,32,False,dominant,1478226
colorful-flowers,1,1.418251,g,64,True,bunt,1698274
parrot-1,2,1.210196,g,16,False,dominant,1361433
parrot-1,1,2.037647,r,64,True,dominant,1248183
chameleon,3,4.282851,r,16,False,dominant,1602827
protrait-man,3,2.560373,b,32,False,ausgeglichen,947520
women-portrait,4,2.934582,b,2,False,dominant,1673259
buildings-1,1,9.067636,g,32,False,bunt,1540870
women-portrait-blue,3,3.135296,g,16,False,dominant,1494707
boy,2,24.87038,b,32,True,ausgeglichen,1724880
sunflower,5,1.498274,b,2,False,dominant,1782336
chameleon,5,0.960788,b,16,False,dominant,1577943
colorful-flowers,1,2.407428,g,32,True,bunt,1745745
parrot-1,3,2.57633,r,8,True,dominant,1378776
colorful-flowers,4,82.537739,r,2,True,bunt,1976069
boy,5,3.14231,r,8,True,ausgeglichen,1854167
women-portrait-blue,5,1.95024,b,16,True,dominant,1470592
colorful-flowers,1,1.615084,g,64,True,bunt,1698274
chameleon,5,35.025682,b,8,False,dominant,1636571
protrait-man,2,6.384555,b,16,False,ausgeglichen,983930
protrait-man,2,2.097712,g,32,False,ausgeglichen,988913
landscape-mountains-1,5,1.584624,r,16,False,bunt,1760551
boy,5,1.896207,b,16,True,ausgeglichen,1788808
colorful-flowers,2,2.376672,b,64,True,bunt,1607054
colorful-flowers,5,3.577567,b,2,True,bunt,1948480
women-portrait-blue,5,1.636865,b,8,True,dominant,1517539
parrot-1,1,1.752671,r,64,True,dominant,1248183
buildings-1,3,3.001404,r,32,True,bunt,1501470
sunflower,5,1.284258,r,16,True,dominant,1620613
women-portrait,5,15.638934,r,2,True,dominant,1668639
parrot-1,4,3.013252,g,2,False,dominant,1487599
chameleon,5,0.980157,g,16,True,dominant,1620124
women-portrait-blue,1,1.882081,r,64,False,dominant,1334286
landscape-mountains-1,5,2.830182,b,8,True,bunt,1848711
women-portrait,1,1.077206,g,32,False,dominant,1478226
women-portrait-blue,2,1.535729,b,64,True,dominant,1379057
protrait-man,1,1.102193,r,32,False,ausgeglichen,955805
landscape-mountains-1,5,1.587294,g,2,True,bunt,1974709
boy,2,2.532424,g,16,False,ausgeglichen,1826677
chameleon,2,3.713909,g,32,True,dominant,1563034
sunflower,2,1.303022,g,32,True,dominant,1575103
colorful-flowers,4,2.40319,g,8,True,bunt,1865947
parrot-1,2,1.676935,g,32,False,dominant,1316312
chameleon,5,3.360231,r,2,False,dominant,1774469
sunflower,4,41.542149,b,64,False,dominant,1481298
parrot-1,1,1.730403,g,64,False,dominant,1286005
women-portrait-blue,3,5.191867,b,32,True,dominant,1411735
protrait-man,1,3.027187,b,32,False,ausgeglichen,947520
buildings-1,4,3.960218,b,64,True,bunt,1464487
colorful-flowers,2,2.649012,r,32,True,bunt,1737132
protrait-man,1,1.57882,b,64,False,ausgeglichen,917447
women-portrait-blue,2,13.467842,g,16,False,dominant,1494707
women-portrait-blue,5,1.475138,b,2,True,dominant,1622899
chameleon,5,1.027549,b,32,False,dominant,1526202
boy,5,0.873062,r,2,True,ausgeglichen,1970444
protrait-man,5,1.234572,r,2,False,ausgeglichen,1102650
parrot-1,5,1.888857,b,32,False,dominant,1279196
colorful-flowers,5,0.93138,b,32,True,bunt,1650075
sunflower,5,4.567544,r,2,True,dominant,1794731
women-portrait,3,2.345398,b,64,False,dominant,1405429
boy,5,11.60103,r,16,True,ausgeglichen,1792184
buildings-1,5,0.923953,g,8,False,bunt,1639884
sunflower,5,3.49484,g,8,True,dominant,1692156
parrot-1,5,2.41031,g,8,False,dominant,1409332
landscape-mountains-1,1,2.126728,g,64,True,bunt,1693941
parrot-1,5,10.871489,b,8,False,dominant,1376723
protrait-man,5,1.637125,r,8,False,ausgeglichen,1027811
women-portrait-blue,5,3.416329,r,8,False,dominant,1481163
women-portrait-blue,5,3.04853,r,2,False,dominant,1596626
colorful-flowers,5,1.223068,g,16,True,bunt,1806067
women-portrait,1,44.91556,g,64,False,dominant,1434450
women-portrait-blue,1,287.437302,g,32,False,dominant,1430156
landscape-mountains-1,2,3.2525,b,32,True,bunt,1719559
women-portrait-blue,5,6.160962,g,2,False,dominant,1623040
boy,5,6.165336,g,8,False,ausgeglichen,1885348
chameleon,5,2.850486,b,2,False,dominant,1770933
women-portrait,3,3.974311,b,32,False,dominant,1451947
chameleon,1,2.805984,g,64,True,dominant,1517897
protrait-man,1,0.946828,g,64,False,ausgeglichen,954435
colorful-flowers,5,3.881999,r,16,True,bunt,1798205
buildings-1,4,4.42039,r,16,True,bunt,1554914
landscape-mountains-1,4,3.130946,b,16,True,bunt,1782109
colorful-flowers,5,3.600986,g,2,True,bunt,1979529
buildings-1,1,4.554234,g,16,False,bunt,1586216
landscape-mountains-1,1,1.235769,b,64,True,bunt,1666004
boy,5,3.288649,b,8,True,ausgeglichen,1846232
buildings-1,4,4.321189,b,2,True,bunt,1732860
protrait-man,5,5.897737,b,2,False,ausgeglichen,1098420
protrait-man,5,1.732172,b,8,False,ausgeglichen,1019660
buildings-1,4,1.577012,b,8,True,bunt,1620062
parrot-1,1,5.290898,r,32,True,dominant,1283118
sunflower,4,3.146096,g,16,True,dominant,1630932
buildings-1,1,1.271597,g,32,False,bunt,1540870
landscape-mountains-1,5,2.414517,r,2,False,bunt,1959463
women-portrait,5,3.667124,b,8,False,dominant,1566554
women-portrait,5,1.82381,g,2,False,dominant,1686824
sunflower,5,2.898019,b,16,False,dominant,1577758
colorful-flowers,5,2.987682,r,8,True,bunt,1858237
colorful-flowers,5,0.831415,b,8,True,bunt,1773313
sunflower,5,3.596687,b,32,False,dominant,1519261
colorful-flowers,1,3.416095,r,64,True,bunt,1687900
boy,5,2.611257,b,2,True,ausgeglichen,1967649
parrot-1,4,7.331498,r,2,True,dominant,1476590
sunflower,5,1.775718,g,2,True,dominant,1799423
sunflower,3,2.40629,r,64,True,dominant,1521414
women-portrait,3,1.497233,r,16,True,dominant,1489510
